Fecha,Hora,Temperatura,Humedad,Lluvia,Luz,Viento
2025-05-20,16:09:27,26.5,59.0,Sin lluvia,Nublado,4
2025-05-20,16:09:32,26.6,60.0,Sin lluvia,Nublado,4
2025-05-20,16:09:37,26.6,60.0,Sin lluvia,Nublado,4
2025-05-20,16:09:42,26.5,59.0,Sin lluvia,Nublado,4
2025-05-20,16:09:47,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:09:52,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:09:57,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:10:02,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:10:07,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:10:12,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:10:17,26.6,59.0,Sin lluvia,Noche,4
2025-05-20,16:10:22,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:10:27,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:10:32,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:10:37,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:10:42,26.6,59.0,Sin lluvia,Noche,4
2025-05-20,16:10:47,26.6,59.0,Sin lluvia,Noche,4
2025-05-20,16:10:52,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:10:57,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:11:02,26.6,59.0,Sin lluvia,Noche,4
2025-05-20,16:11:07,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:11:12,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:11:17,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:11:22,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:11:27,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:11:32,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:11:38,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:11:43,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:11:48,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:11:53,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:11:58,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:12:03,26.6,60.0,Sin lluvia,Noche,4
2025-05-20,16:12:08,26.6,61.0,Sin lluvia,Nublado,4
2025-05-20,16:12:13,26.6,60.0,Sin lluvia,Nublado,4
2025-05-20,16:12:18,26.6,60.0,Sin lluvia,Nublado,4
2025-05-20,16:12:23,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:12:28,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:12:33,26.6,61.0,Sin lluvia,Nublado,4
2025-05-20,16:12:38,26.6,61.0,Sin lluvia,Nublado,4
2025-05-20,16:12:43,26.6,62.0,Sin lluvia,Nublado,4
2025-05-20,16:12:48,26.6,61.0,Sin lluvia,Nublado,4
2025-05-20,16:12:53,26.8,60.0,Sin lluvia,Nublado,4
2025-05-20,16:12:58,26.6,60.0,Sin lluvia,Soleado,4
2025-05-20,16:13:10,26.6,60.0,Sin lluvia,Nublado,4
2025-05-20,16:13:10,26.8,60.0,Sin lluvia,Nublado,4
2025-05-20,16:13:13,26.8,60.0,Sin lluvia,Nublado,4
2025-05-20,16:13:18,26.8,60.0,Sin lluvia,Nublado,4
2025-05-20,16:13:23,26.8,60.0,Sin lluvia,Nublado,4
2025-05-20,16:13:28,26.8,60.0,Sin lluvia,Nublado,4
2025-05-20,16:13:33,26.8,61.0,Sin lluvia,Nublado,4
2025-05-20,16:13:38,26.8,60.0,Sin lluvia,Nublado,4
2025-05-20,16:13:43,26.8,61.0,Sin lluvia,Nublado,4
2025-05-20,16:13:48,26.8,61.0,Sin lluvia,Nublado,4
2025-05-20,16:13:53,26.8,61.0,Sin lluvia,Nublado,4
2025-05-20,16:13:58,26.8,61.0,Sin lluvia,Nublado,4
2025-05-20,16:14:03,26.8,60.0,Sin lluvia,Nublado,4
2025-05-20,16:14:08,26.8,60.0,Sin lluvia,Nublado,4
